home_team_api_id,away_team_api_id,total_goal,home_team_goal,away_team_goal,home_team_name,home_team_short_name,away_team_name,away_team_short_name,winner,winner_team
9987,9993,2,1,1,KRC Genk,GEN,Beerschot AC,BAC,draw,draw
10000,9994,0,0,0,SV Zulte-Waregem,ZUL,Sporting Lokeren,LOK,draw,draw
9984,8635,3,0,3,KSV Cercle Brugge,CEB,RSC Anderlecht,AND,away,RSC Anderlecht
9991,9998,5,5,0,KAA Gent,GEN,RAEC Mons,MON,home,KAA Gent
7947,9985,4,1,3,FCV Dender EH,DEN,Standard de Liège,STL,away,Standard de Liège
8203,8342,2,1,1,KV Mechelen,MEC,Club Brugge KV,CLB,draw,draw
9999,8571,4,2,2,KSV Roeselare,ROS,KV Kortrijk,KOR,draw,draw
4049,9996,3,1,2,Tubize,TUB,Royal Excel Mouscron,MOU,away,Royal Excel Mouscron
10001,9986,1,1,0,KVC Westerlo,WES,Sporting Charleroi,CHA,home,KVC Westerlo
8342,8571,5,4,1,Club Brugge KV,CLB,KV Kortrijk,KOR,home,Club Brugge KV
9985,9986,3,1,2,Standard de Liège,STL,Sporting Charleroi,CHA,away,Sporting Charleroi
10000,9991,2,0,2,SV Zulte-Waregem,ZUL,KAA Gent,GEN,away,KAA Gent
9994,9998,0,0,0,Sporting Lokeren,LOK,RAEC Mons,MON,draw,draw
7947,10001,4,2,2,FCV Dender EH,DEN,KVC Westerlo,WES,draw,draw
8203,9999,3,1,2,KV Mechelen,MEC,KSV Roeselare,ROS,away,KSV Roeselare
9996,9984,1,0,1,Royal Excel Mouscron,MOU,KSV Cercle Brugge,CEB,away,KSV Cercle Brugge
4049,9987,4,1,3,Tubize,TUB,KRC Genk,GEN,away,KRC Genk
9993,8635,4,1,3,Beerschot AC,BAC,RSC Anderlecht,AND,away,RSC Anderlecht
8635,9994,5,2,3,RSC Anderlecht,AND,Sporting Lokeren,LOK,away,Sporting Lokeren
9998,9996,0,0,0,RAEC Mons,MON,Royal Excel Mouscron,MOU,draw,draw
9986,8342,4,2,2,Sporting Charleroi,CHA,Club Brugge KV,CLB,draw,draw
9984,10000,2,2,0,KSV Cercle Brugge,CEB,SV Zulte-Waregem,ZUL,home,KSV Cercle Brugge
9991,7947,2,1,1,KAA Gent,GEN,FCV Dender EH,DEN,draw,draw
9999,4049,3,1,2,KSV Roeselare,ROS,Tubize,TUB,away,Tubize
8571,8203,0,0,0,KV Kortrijk,KOR,KV Mechelen,MEC,draw,draw
10001,9987,1,1,0,KVC Westerlo,WES,KRC Genk,GEN,home,KVC Westerlo
9993,9985,4,1,3,Beerschot AC,BAC,Standard de Liège,STL,away,Standard de Liège
8342,8635,2,1,1,Club Brugge KV,CLB,RSC Anderlecht,AND,draw,draw
9987,9999,2,1,1,KRC Genk,GEN,KSV Roeselare,ROS,draw,draw
10000,9993,4,2,2,SV Zulte-Waregem,ZUL,Beerschot AC,BAC,draw,draw
9994,9985,2,1,1,Sporting Lokeren,LOK,Standard de Liège,STL,draw,draw
7947,8571,1,1,0,FCV Dender EH,DEN,KV Kortrijk,KOR,home,FCV Dender EH
8203,9998,0,0,0,KV Mechelen,MEC,RAEC Mons,MON,draw,draw
9996,9986,3,2,1,Royal Excel Mouscron,MOU,Sporting Charleroi,CHA,home,Royal Excel Mouscron
4049,9984,3,3,0,Tubize,TUB,KSV Cercle Brugge,CEB,home,Tubize
10001,9991,5,3,2,KVC Westerlo,WES,KAA Gent,GEN,home,KVC Westerlo
8635,10001,2,2,0,RSC Anderlecht,AND,KVC Westerlo,WES,home,RSC Anderlecht
9985,9996,4,3,1,Standard de Liège,STL,Royal Excel Mouscron,MOU,home,Standard de Liège
9998,8342,3,1,2,RAEC Mons,MON,Club Brugge KV,CLB,away,Club Brugge KV
9986,4049,5,3,2,Sporting Charleroi,CHA,Tubize,TUB,home,Sporting Charleroi
9984,8203,3,2,1,KSV Cercle Brugge,CEB,KV Mechelen,MEC,home,KSV Cercle Brugge
9991,9987,5,2,3,KAA Gent,GEN,KRC Genk,GEN,away,KRC Genk
9999,7947,4,2,2,KSV Roeselare,ROS,FCV Dender EH,DEN,draw,draw
8571,10000,1,1,0,KV Kortrijk,KOR,SV Zulte-Waregem,ZUL,home,KV Kortrijk
9993,9994,2,0,2,Beerschot AC,BAC,Sporting Lokeren,LOK,away,Sporting Lokeren
8342,9993,3,3,0,Club Brugge KV,CLB,Beerschot AC,BAC,home,Club Brugge KV
9987,9984,5,3,2,KRC Genk,GEN,KSV Cercle Brugge,CEB,home,KRC Genk
10000,9986,6,4,2,SV Zulte-Waregem,ZUL,Sporting Charleroi,CHA,home,SV Zulte-Waregem
9991,9999,4,4,0,KAA Gent,GEN,KSV Roeselare,ROS,home,KAA Gent
7947,8635,2,0,2,FCV Dender EH,DEN,RSC Anderlecht,AND,away,RSC Anderlecht
8203,9985,0,0,0,KV Mechelen,MEC,Standard de Liège,STL,draw,draw
9996,9994,2,2,0,Royal Excel Mouscron,MOU,Sporting Lokeren,LOK,home,Royal Excel Mouscron
4049,8571,6,3,3,Tubize,TUB,KV Kortrijk,KOR,draw,draw
10001,9998,3,2,1,KVC Westerlo,WES,RAEC Mons,MON,home,KVC Westerlo
8635,4049,6,5,1,RSC Anderlecht,AND,Tubize,TUB,home,RSC Anderlecht
9985,10000,3,1,2,Standard de Liège,STL,SV Zulte-Waregem,ZUL,away,SV Zulte-Waregem
9998,7947,7,5,2,RAEC Mons,MON,FCV Dender EH,DEN,home,RAEC Mons
9986,8203,3,1,2,Sporting Charleroi,CHA,KV Mechelen,MEC,away,KV Mechelen
9984,9991,4,3,1,KSV Cercle Brugge,CEB,KAA Gent,GEN,home,KSV Cercle Brugge
9994,8342,2,2,0,Sporting Lokeren,LOK,Club Brugge KV,CLB,home,Sporting Lokeren
9999,10001,1,1,0,KSV Roeselare,ROS,KVC Westerlo,WES,home,KSV Roeselare
8571,9987,4,3,1,KV Kortrijk,KOR,KRC Genk,GEN,home,KV Kortrijk
9993,9996,3,3,0,Beerschot AC,BAC,Royal Excel Mouscron,MOU,home,Beerschot AC
8342,9985,5,1,4,Club Brugge KV,CLB,Standard de Liège,STL,away,Standard de Liège
9987,9986,1,1,0,KRC Genk,GEN,Sporting Charleroi,CHA,home,KRC Genk
10000,9996,3,2,1,SV Zulte-Waregem,ZUL,Royal Excel Mouscron,MOU,home,SV Zulte-Waregem
9991,8571,2,1,1,KAA Gent,GEN,KV Kortrijk,KOR,draw,draw
7947,9994,2,1,1,FCV Dender EH,DEN,Sporting Lokeren,LOK,draw,draw
8203,9993,3,2,1,KV Mechelen,MEC,Beerschot AC,BAC,home,KV Mechelen
9999,8635,3,0,3,KSV Roeselare,ROS,RSC Anderlecht,AND,away,RSC Anderlecht
4049,9998,3,2,1,Tubize,TUB,RAEC Mons,MON,home,Tubize
10001,9984,3,1,2,KVC Westerlo,WES,KSV Cercle Brugge,CEB,away,KSV Cercle Brugge
8635,9987,2,2,0,RSC Anderlecht,AND,KRC Genk,GEN,home,RSC Anderlecht
9985,9991,3,2,1,Standard de Liège,STL,KAA Gent,GEN,home,Standard de Liège
9998,10000,4,2,2,RAEC Mons,MON,SV Zulte-Waregem,ZUL,draw,draw
9986,7947,2,2,0,Sporting Charleroi,CHA,FCV Dender EH,DEN,home,Sporting Charleroi
9984,9999,7,4,3,KSV Cercle Brugge,CEB,KSV Roeselare,ROS,home,KSV Cercle Brugge
9994,8203,4,2,2,Sporting Lokeren,LOK,KV Mechelen,MEC,draw,draw
9996,8342,6,5,1,Royal Excel Mouscron,MOU,Club Brugge KV,CLB,home,Royal Excel Mouscron
8571,10001,0,0,0,KV Kortrijk,KOR,KVC Westerlo,WES,draw,draw
9993,4049,2,2,0,Beerschot AC,BAC,Tubize,TUB,home,Beerschot AC
9993,9987,5,4,1,Beerschot AC,BAC,KRC Genk,GEN,home,Beerschot AC
9994,10000,3,2,1,Sporting Lokeren,LOK,SV Zulte-Waregem,ZUL,home,Sporting Lokeren
8635,9984,3,1,2,RSC Anderlecht,AND,KSV Cercle Brugge,CEB,away,KSV Cercle Brugge
9998,9991,3,1,2,RAEC Mons,MON,KAA Gent,GEN,away,KAA Gent
9985,7947,5,3,2,Standard de Liège,STL,FCV Dender EH,DEN,home,Standard de Liège
8342,8203,3,3,0,Club Brugge KV,CLB,KV Mechelen,MEC,home,Club Brugge KV
8571,9999,3,2,1,KV Kortrijk,KOR,KSV Roeselare,ROS,home,KV Kortrijk
9996,4049,2,1,1,Royal Excel Mouscron,MOU,Tubize,TUB,draw,draw
9986,10001,3,1,2,Sporting Charleroi,CHA,KVC Westerlo,WES,away,KVC Westerlo
10000,8342,4,3,1,SV Zulte-Waregem,ZUL,Club Brugge KV,CLB,home,SV Zulte-Waregem
9991,8635,3,1,2,KAA Gent,GEN,RSC Anderlecht,AND,away,RSC Anderlecht
10001,9985,1,0,1,KVC Westerlo,WES,Standard de Liège,STL,away,Standard de Liège
9987,9998,2,2,0,KRC Genk,GEN,RAEC Mons,MON,home,KRC Genk
9999,9986,4,3,1,KSV Roeselare,ROS,Sporting Charleroi,CHA,home,KSV Roeselare
4049,9994,3,2,1,Tubize,TUB,Sporting Lokeren,LOK,home,Tubize
8203,9996,4,2,2,KV Mechelen,MEC,Royal Excel Mouscron,MOU,draw,draw
9984,8571,1,0,1,KSV Cercle Brugge,CEB,KV Kortrijk,KOR,away,KV Kortrijk
7947,9993,1,0,1,FCV Dender EH,DEN,Beerschot AC,BAC,away,Beerschot AC
8342,10000,2,2,0,Club Brugge KV,CLB,SV Zulte-Waregem,ZUL,home,Club Brugge KV
8635,9991,4,2,2,RSC Anderlecht,AND,KAA Gent,GEN,draw,draw
9985,10001,3,3,0,Standard de Liège,STL,KVC Westerlo,WES,home,Standard de Liège
9998,9987,4,3,1,RAEC Mons,MON,KRC Genk,GEN,home,RAEC Mons
9986,9999,1,1,0,Sporting Charleroi,CHA,KSV Roeselare,ROS,home,Sporting Charleroi
9994,4049,5,4,1,Sporting Lokeren,LOK,Tubize,TUB,home,Sporting Lokeren
9996,8203,4,3,1,Royal Excel Mouscron,MOU,KV Mechelen,MEC,home,Royal Excel Mouscron
8571,9984,3,2,1,KV Kortrijk,KOR,KSV Cercle Brugge,CEB,home,KV Kortrijk
9993,7947,2,1,1,Beerschot AC,BAC,FCV Dender EH,DEN,draw,draw
8571,8635,4,1,3,KV Kortrijk,KOR,RSC Anderlecht,AND,away,RSC Anderlecht
9994,9987,3,1,2,Sporting Lokeren,LOK,KRC Genk,GEN,away,KRC Genk
9998,9984,2,1,1,RAEC Mons,MON,KSV Cercle Brugge,CEB,draw,draw
9986,9991,7,2,5,Sporting Charleroi,CHA,KAA Gent,GEN,away,KAA Gent
9996,7947,2,0,2,Royal Excel Mouscron,MOU,FCV Dender EH,DEN,away,FCV Dender EH
10000,8203,2,1,1,SV Zulte-Waregem,ZUL,KV Mechelen,MEC,draw,draw
9985,9999,3,3,0,Standard de Liège,STL,KSV Roeselare,ROS,home,Standard de Liège
8342,4049,4,3,1,Club Brugge KV,CLB,Tubize,TUB,home,Club Brugge KV
9993,10001,3,2,1,Beerschot AC,BAC,KVC Westerlo,WES,home,Beerschot AC
7947,8342,2,0,2,FCV Dender EH,DEN,Club Brugge KV,CLB,away,Club Brugge KV
8571,9985,2,0,2,KV Kortrijk,KOR,Standard de Liège,STL,away,Standard de Liège
8635,9998,5,3,2,RSC Anderlecht,AND,RAEC Mons,MON,home,RSC Anderlecht
9987,10000,3,1,2,KRC Genk,GEN,SV Zulte-Waregem,ZUL,away,SV Zulte-Waregem
9984,9986,4,2,2,KSV Cercle Brugge,CEB,Sporting Charleroi,CHA,draw,draw
10001,9994,1,1,0,KVC Westerlo,WES,Sporting Lokeren,LOK,home,KVC Westerlo
4049,8203,6,1,5,Tubize,TUB,KV Mechelen,MEC,away,KV Mechelen
9991,9996,2,2,0,KAA Gent,GEN,Royal Excel Mouscron,MOU,home,KAA Gent
9999,9993,4,2,2,KSV Roeselare,ROS,Beerschot AC,BAC,draw,draw
9986,8635,1,0,1,Sporting Charleroi,CHA,RSC Anderlecht,AND,away,RSC Anderlecht
8342,9987,2,0,2,Club Brugge KV,CLB,KRC Genk,GEN,away,KRC Genk
9993,9984,2,1,1,Beerschot AC,BAC,KSV Cercle Brugge,CEB,draw,draw
8203,9991,6,3,3,KV Mechelen,MEC,KAA Gent,GEN,draw,draw
10000,7947,1,1,0,SV Zulte-Waregem,ZUL,FCV Dender EH,DEN,home,SV Zulte-Waregem
9994,9999,3,2,1,Sporting Lokeren,LOK,KSV Roeselare,ROS,home,Sporting Lokeren
9998,8571,2,1,1,RAEC Mons,MON,KV Kortrijk,KOR,draw,draw
9985,4049,4,4,0,Standard de Liège,STL,Tubize,TUB,home,Standard de Liège
9996,10001,0,0,0,Royal Excel Mouscron,MOU,KVC Westerlo,WES,draw,draw
10001,8342,2,1,1,KVC Westerlo,WES,Club Brugge KV,CLB,draw,draw
8635,9985,6,4,2,RSC Anderlecht,AND,Standard de Liège,STL,home,RSC Anderlecht
9999,9998,5,3,2,KSV Roeselare,ROS,RAEC Mons,MON,home,KSV Roeselare
4049,10000,6,0,6,Tubize,TUB,SV Zulte-Waregem,ZUL,away,SV Zulte-Waregem
8571,9986,2,1,1,KV Kortrijk,KOR,Sporting Charleroi,CHA,draw,draw
9984,9994,0,0,0,KSV Cercle Brugge,CEB,Sporting Lokeren,LOK,draw,draw
7947,8203,3,1,2,FCV Dender EH,DEN,KV Mechelen,MEC,away,KV Mechelen
9987,9996,2,1,1,KRC Genk,GEN,Royal Excel Mouscron,MOU,draw,draw
9991,9993,4,1,3,KAA Gent,GEN,Beerschot AC,BAC,away,Beerschot AC
9996,8635,2,1,1,Royal Excel Mouscron,MOU,RSC Anderlecht,AND,draw,draw
8203,9987,3,2,1,KV Mechelen,MEC,KRC Genk,GEN,home,KV Mechelen
9986,9998,3,3,0,Sporting Charleroi,CHA,RAEC Mons,MON,home,Sporting Charleroi
9985,9984,4,4,0,Standard de Liège,STL,KSV Cercle Brugge,CEB,home,Standard de Liège
9994,9991,1,0,1,Sporting Lokeren,LOK,KAA Gent,GEN,away,KAA Gent
8342,9999,3,2,1,Club Brugge KV,CLB,KSV Roeselare,ROS,home,Club Brugge KV
9993,8571,3,3,0,Beerschot AC,BAC,KV Kortrijk,KOR,home,Beerschot AC
7947,4049,4,4,0,FCV Dender EH,DEN,Tubize,TUB,home,FCV Dender EH
10000,10001,2,1,1,SV Zulte-Waregem,ZUL,KVC Westerlo,WES,draw,draw
9984,8342,4,1,3,KSV Cercle Brugge,CEB,Club Brugge KV,CLB,away,Club Brugge KV
9998,9985,1,0,1,RAEC Mons,MON,Standard de Liège,STL,away,Standard de Liège
8635,10000,2,2,0,RSC Anderlecht,AND,SV Zulte-Waregem,ZUL,home,RSC Anderlecht
8571,9994,5,2,3,KV Kortrijk,KOR,Sporting Lokeren,LOK,away,Sporting Lokeren
9987,7947,7,4,3,KRC Genk,GEN,FCV Dender EH,DEN,home,KRC Genk
10001,8203,1,0,1,KVC Westerlo,WES,KV Mechelen,MEC,away,KV Mechelen
9999,9996,2,2,0,KSV Roeselare,ROS,Royal Excel Mouscron,MOU,home,KSV Roeselare
9991,4049,2,2,0,KAA Gent,GEN,Tubize,TUB,home,KAA Gent
9986,9993,0,0,0,Sporting Charleroi,CHA,Beerschot AC,BAC,draw,draw
8203,8635,3,2,1,KV Mechelen,MEC,RSC Anderlecht,AND,home,KV Mechelen
9985,9987,2,2,0,Standard de Liège,STL,KRC Genk,GEN,home,Standard de Liège
