team_api_id,year,wins,team_long_name_y,team_short_name_y,defeats,league_id_y
1601,2008,6,Ruch Chorzów,CHO,7.0,15722.0
1601,2009,13,Ruch Chorzów,CHO,12.0,15722.0
1601,2010,10,Ruch Chorzów,CHO,10.0,15722.0
1601,2011,15,Ruch Chorzów,CHO,12.0,15722.0
1601,2012,11,Ruch Chorzów,CHO,9.0,15722.0
1601,2013,12,Ruch Chorzów,CHO,12.0,15722.0
1601,2014,10,Ruch Chorzów,CHO,13.0,15722.0
1601,2015,13,Ruch Chorzów,CHO,11.0,15722.0
1601,2016,2,Ruch Chorzów,CHO,5.0,15722.0
1773,2011,5,Oud-Heverlee Leuven,O-H,9.0,1.0
1773,2012,8,Oud-Heverlee Leuven,O-H,12.0,1.0
1773,2013,2,Oud-Heverlee Leuven,O-H,4.0,1.0
1773,2015,5,Oud-Heverlee Leuven,O-H,12.0,1.0
1773,2016,2,Oud-Heverlee Leuven,O-H,3.0,1.0
1957,2008,4,Jagiellonia Białystok,BIA,7.0,15722.0
1957,2009,11,Jagiellonia Białystok,BIA,10.0,15722.0
1957,2010,14,Jagiellonia Białystok,BIA,8.0,15722.0
1957,2011,11,Jagiellonia Białystok,BIA,14.0,15722.0
1957,2012,8,Jagiellonia Białystok,BIA,8.0,15722.0
1957,2013,13,Jagiellonia Białystok,BIA,15.0,15722.0
1957,2014,11,Jagiellonia Białystok,BIA,8.0,15722.0
1957,2015,12,Jagiellonia Białystok,BIA,14.0,15722.0
1957,2016,3,Jagiellonia Białystok,BIA,5.0,15722.0
2033,2009,1,S.C. Olhanense,OLH,6.0,17642.0
2033,2010,7,S.C. Olhanense,OLH,9.0,17642.0
2033,2011,7,S.C. Olhanense,OLH,11.0,17642.0
2033,2012,8,S.C. Olhanense,OLH,9.0,17642.0
2033,2013,5,S.C. Olhanense,OLH,19.0,17642.0
2033,2014,4,S.C. Olhanense,OLH,9.0,17642.0
2182,2008,11,Lech Poznań,POZ,3.0,15722.0
2182,2009,14,Lech Poznań,POZ,3.0,15722.0
2182,2010,15,Lech Poznań,POZ,6.0,15722.0
2182,2011,16,Lech Poznań,POZ,10.0,15722.0
2182,2012,16,Lech Poznań,POZ,7.0,15722.0
2182,2013,19,Lech Poznań,POZ,8.0,15722.0
2182,2014,14,Lech Poznań,POZ,5.0,15722.0
2182,2015,14,Lech Poznań,POZ,10.0,15722.0
2182,2016,5,Lech Poznań,POZ,4.0,15722.0
2183,2008,10,P. Warszawa,PWA,2.0,15722.0
2183,2009,9,P. Warszawa,PWA,14.0,15722.0
2183,2010,10,P. Warszawa,PWA,10.0,15722.0
2183,2011,16,P. Warszawa,PWA,9.0,15722.0
2183,2012,12,P. Warszawa,PWA,10.0,15722.0
2183,2013,3,P. Warszawa,PWA,7.0,15722.0
2186,2008,3,Cracovia,CKR,9.0,15722.0
2186,2009,9,Cracovia,CKR,12.0,15722.0
2186,2010,6,Cracovia,CKR,18.0,15722.0
2186,2011,9,Cracovia,CKR,15.0,15722.0
2186,2012,1,Cracovia,CKR,7.0,15722.0
2186,2013,9,Cracovia,CKR,9.0,15722.0
2186,2014,8,Cracovia,CKR,13.0,15722.0
2186,2015,14,Cracovia,CKR,9.0,15722.0
2186,2016,2,Cracovia,CKR,4.0,15722.0
4049,2008,4,Tubize,TUB,11.0,1.0
4049,2009,3,Tubize,TUB,10.0,1.0
4064,2011,3,Feirense,FEI,5.0,17642.0
4064,2012,2,Feirense,FEI,11.0,17642.0
4087,2011,5,Évian Thonon Gaillard FC,ETG,7.0,4769.0
4087,2012,13,Évian Thonon Gaillard FC,ETG,17.0,4769.0
4087,2013,10,Évian Thonon Gaillard FC,ETG,16.0,4769.0
4087,2014,12,Évian Thonon Gaillard FC,ETG,19.0,4769.0
4087,2015,5,Évian Thonon Gaillard FC,ETG,12.0,4769.0
4170,2009,3,US Boulogne Cote D'Opale,BOU,11.0,4769.0
4170,2010,4,US Boulogne Cote D'Opale,BOU,10.0,4769.0
6269,2011,2,Novara,NOV,8.0,10257.0
6269,2012,4,Novara,NOV,11.0,10257.0
6351,2010,4,KAS Eupen,EUP,12.0,1.0
6351,2011,1,KAS Eupen,EUP,5.0,1.0
6367,2015,3,Uniao da Madeira,MAD,6.0,17642.0
6367,2016,4,Uniao da Madeira,MAD,13.0,17642.0
6391,2015,6,GFC Ajaccio,GAJ,7.0,4769.0
6391,2016,2,GFC Ajaccio,GAJ,10.0,4769.0
6403,2008,3,FC Paços de Ferreira,FER,6.0,17642.0
6403,2009,9,FC Paços de Ferreira,FER,14.0,17642.0
6403,2010,8,FC Paços de Ferreira,FER,10.0,17642.0
6403,2011,9,FC Paços de Ferreira,FER,13.0,17642.0
6403,2012,10,FC Paços de Ferreira,FER,7.0,17642.0
6403,2013,12,FC Paços de Ferreira,FER,12.0,17642.0
6403,2014,10,FC Paços de Ferreira,FER,13.0,17642.0
6403,2015,12,FC Paços de Ferreira,FER,12.0,17642.0
6403,2016,7,FC Paços de Ferreira,FER,6.0,17642.0
6413,2012,3,PEC Zwolle,ZWO,9.0,13274.0
6413,2013,12,PEC Zwolle,ZWO,12.0,13274.0
6413,2014,13,PEC Zwolle,ZWO,12.0,13274.0
6413,2015,14,PEC Zwolle,ZWO,13.0,13274.0
6413,2016,7,PEC Zwolle,ZWO,8.0,13274.0
6421,2008,7,Leixões SC,LEI,2.0,17642.0
6421,2009,7,Leixões SC,LEI,14.0,17642.0
6421,2010,3,Leixões SC,LEI,12.0,17642.0
6433,2013,6,Go Ahead Eagles,GAE,7.0,13274.0
6433,2014,8,Go Ahead Eagles,GAE,18.0,13274.0
6433,2015,3,Go Ahead Eagles,GAE,12.0,13274.0
6493,2008,3,AC Bellinzona,BEL,9.0,24558.0
6493,2009,12,AC Bellinzona,BEL,17.0,24558.0
6493,2010,7,AC Bellinzona,BEL,21.0,24558.0
6493,2011,3,AC Bellinzona,BEL,11.0,24558.0
6547,2014,3,FC Penafiel,PEN,9.0,17642.0
6547,2015,2,FC Penafiel,PEN,13.0,17642.0
6601,2008,3,FC Volendam,VOL,12.0,13274.0
6601,2009,4,FC Volendam,VOL,7.0,13274.0
6631,2014,1,FC Dordrecht,DOR,12.0,13274.0
6631,2015,3,FC Dordrecht,DOR,10.0,13274.0
7730,2011,3,FC Lausanne-Sports,LAU,13.0,24558.0
7730,2012,10,FC Lausanne-Sports,LAU,14.0,24558.0
7730,2013,5,FC Lausanne-Sports,LAU,27.0,24558.0
7730,2014,5,FC Lausanne-Sports,LAU,11.0,24558.0
7788,2013,4,SC Cambuur,CAM,10.0,13274.0
7788,2014,13,SC Cambuur,CAM,10.0,13274.0
7788,2015,6,SC Cambuur,CAM,18.0,13274.0
7788,2016,1,SC Cambuur,CAM,14.0,13274.0
7794,2012,6,SC Bastia,BAS,9.0,4769.0
7794,2013,13,SC Bastia,BAS,15.0,4769.0
7794,2014,10,SC Bastia,BAS,18.0,4769.0
7794,2015,14,SC Bastia,BAS,15.0,4769.0
7794,2016,8,SC Bastia,BAS,7.0,4769.0
7819,2008,5,SM Caen,CAE,6.0,4769.0
7819,2009,3,SM Caen,CAE,11.0,4769.0
7819,2010,4,SM Caen,CAE,8.0,4769.0
7819,2011,12,SM Caen,CAE,15.0,4769.0
7819,2012,4,SM Caen,CAE,9.0,4769.0
7819,2014,3,SM Caen,CAE,10.0,4769.0
7819,2015,18,SM Caen,CAE,13.0,4769.0
7819,2016,7,SM Caen,CAE,9.0,4769.0
7841,2008,2,Rio Ave FC,RA,6.0,17642.0
7841,2009,10,Rio Ave FC,RA,13.0,17642.0
7841,2010,5,Rio Ave FC,RA,14.0,17642.0
7841,2011,10,Rio Ave FC,RA,14.0,17642.0
7841,2012,9,Rio Ave FC,RA,12.0,17642.0
7841,2013,12,Rio Ave FC,RA,15.0,17642.0
7841,2014,8,Rio Ave FC,RA,11.0,17642.0
7841,2015,11,Rio Ave FC,RA,12.0,17642.0
7841,2016,8,Rio Ave FC,RA,7.0,17642.0
7842,2012,4,Estoril Praia,EST,5.0,17642.0
7842,2013,16,Estoril Praia,EST,10.0,17642.0
7842,2014,12,Estoril Praia,EST,6.0,17642.0
7842,2015,9,Estoril Praia,EST,14.0,17642.0
7842,2016,9,Estoril Praia,EST,7.0,17642.0
7844,2008,3,Vitória Guimarães,GUI,4.0,17642.0
7844,2009,12,Vitória Guimarães,GUI,13.0,17642.0
7844,2010,12,Vitória Guimarães,GUI,10.0,17642.0
7844,2011,10,Vitória Guimarães,GUI,14.0,17642.0
7844,2012,14,Vitória Guimarães,GUI,11.0,17642.0
7844,2013,14,Vitória Guimarães,GUI,12.0,17642.0
7844,2014,11,Vitória Guimarães,GUI,12.0,17642.0
7844,2015,12,Vitória Guimarães,GUI,12.0,17642.0
7844,2016,4,Vitória Guimarães,GUI,7.0,17642.0
7869,2014,1,Córdoba CF,COR,7.0,21518.0
7869,2015,2,Córdoba CF,COR,17.0,21518.0
7878,2011,5,Granada CF,GRA,7.0,21518.0
7878,2012,11,Granada CF,GRA,22.0,21518.0
7878,2013,13,Granada CF,GRA,18.0,21518.0
7878,2014,8,Granada CF,GRA,19.0,21518.0
7878,2015,8,Granada CF,GRA,19.0,21518.0
7878,2016,7,Granada CF,GRA,10.0,21518.0
7896,2015,5,Lugano,LUG,9.0,24558.0
7896,2016,4,Lugano,LUG,10.0,24558.0
7943,2013,3,Sassuolo,SAS,9.0,10257.0
7943,2014,10,Sassuolo,SAS,17.0,10257.0
7943,2015,15,Sassuolo,SAS,12.0,10257.0
7943,2016,9,Sassuolo,SAS,6.0,10257.0
7947,2008,3,FCV Dender EH,DEN,8.0,1.0
7947,2009,6,FCV Dender EH,DEN,9.0,1.0
7955,2008,4,Neuchâtel Xamax,XAM,8.0,24558.0
7955,2009,13,Neuchâtel Xamax,XAM,14.0,24558.0
7955,2010,9,Neuchâtel Xamax,XAM,21.0,24558.0
7955,2011,10,Neuchâtel Xamax,XAM,16.0,24558.0
7992,2008,2,Trofense,TRO,8.0,17642.0
7992,2009,3,Trofense,TRO,9.0,17642.0
8019,2014,6,Górnik Łęczna,LEC,7.0,15722.0
8019,2015,9,Górnik Łęczna,LEC,15.0,15722.0
8019,2016,1,Górnik Łęczna,LEC,5.0,15722.0
8020,2008,3,Polonia Bytom,GOR,11.0,15722.0
8020,2009,4,Polonia Bytom,GOR,4.0,15722.0
8020,2010,7,Polonia Bytom,GOR,7.0,15722.0
8020,2011,11,Polonia Bytom,GOR,11.0,15722.0
8020,2012,13,Polonia Bytom,GOR,4.0,15722.0
8020,2013,16,Polonia Bytom,GOR,15.0,15722.0
8020,2014,8,Polonia Bytom,GOR,12.0,15722.0
8020,2015,7,Polonia Bytom,GOR,9.0,15722.0
8021,2009,3,Zagłębie Lubin,ZAG,9.0,15722.0
8021,2010,10,Zagłębie Lubin,ZAG,8.0,15722.0
8021,2011,8,Zagłębie Lubin,ZAG,15.0,15722.0
8021,2012,14,Zagłębie Lubin,ZAG,8.0,15722.0
8021,2013,9,Zagłębie Lubin,ZAG,18.0,15722.0
8021,2014,3,Zagłębie Lubin,ZAG,3.0,15722.0
8021,2015,7,Zagłębie Lubin,ZAG,8.0,15722.0
8021,2016,5,Zagłębie Lubin,ZAG,1.0,15722.0
8023,2012,6,Pogoń Szczecin,POG,6.0,15722.0
8023,2013,11,Pogoń Szczecin,POG,14.0,15722.0
8023,2014,11,Pogoń Szczecin,POG,6.0,15722.0
8023,2015,13,Pogoń Szczecin,POG,8.0,15722.0
8023,2016,1,Pogoń Szczecin,POG,1.0,15722.0
8024,2010,4,Widzew Łódź,WID,5.0,15722.0
8024,2011,13,Widzew Łódź,WID,8.0,15722.0
8024,2012,9,Widzew Łódź,WID,11.0,15722.0
8024,2013,6,Widzew Łódź,WID,21.0,15722.0
8024,2014,1,Widzew Łódź,WID,4.0,15722.0
8025,2008,8,Śląsk Wrocław,SLA,3.0,15722.0
8025,2009,9,Śląsk Wrocław,SLA,10.0,15722.0
8025,2010,7,Śląsk Wrocław,SLA,9.0,15722.0
8025,2011,20,Śląsk Wrocław,SLA,6.0,15722.0
8025,2012,13,Śląsk Wrocław,SLA,9.0,15722.0
8025,2013,10,Śląsk Wrocław,SLA,11.0,15722.0
8025,2014,12,Śląsk Wrocław,SLA,7.0,15722.0
8025,2015,7,Śląsk Wrocław,SLA,13.0,15722.0
8025,2016,3,Śląsk Wrocław,SLA,3.0,15722.0
8027,2013,7,Zawisza Bydgoszcz,ZAW,6.0,15722.0
8027,2014,6,Zawisza Bydgoszcz,ZAW,18.0,15722.0
8027,2015,6,Zawisza Bydgoszcz,ZAW,3.0,15722.0
8028,2008,4,Piast Gliwice,PIG,10.0,15722.0
8028,2009,9,Piast Gliwice,PIG,14.0,15722.0
8028,2010,3,Piast Gliwice,PIG,8.0,15722.0
8028,2012,7,Piast Gliwice,PIG,7.0,15722.0
8028,2013,13,Piast Gliwice,PIG,11.0,15722.0
8028,2014,8,Piast Gliwice,PIG,11.0,15722.0
8028,2015,18,Piast Gliwice,PIG,10.0,15722.0
8028,2016,3,Piast Gliwice,PIG,2.0,15722.0
8030,2008,5,Lechia Gdańsk,LGD,9.0,15722.0
8030,2009,11,Lechia Gdańsk,LGD,12.0,15722.0
8030,2010,9,Lechia Gdańsk,LGD,12.0,15722.0
8030,2011,9,Lechia Gdańsk,LGD,13.0,15722.0
8030,2012,10,Lechia Gdańsk,LGD,11.0,15722.0
8030,2013,9,Lechia Gdańsk,LGD,12.0,15722.0
8030,2014,9,Lechia Gdańsk,LGD,12.0,15722.0
8030,2015,12,Lechia Gdańsk,LGD,12.0,15722.0
8030,2016,4,Lechia Gdańsk,LGD,2.0,15722.0
8031,2008,6,Polonia Bytom,POB,8.0,15722.0
8031,2009,10,Polonia Bytom,POB,12.0,15722.0
8031,2010,7,Polonia Bytom,POB,12.0,15722.0
8031,2011,2,Polonia Bytom,POB,9.0,15722.0
8033,2011,6,Podbeskidzie Bielsko-Biała,POD,6.0,15722.0
8033,2012,4,Podbeskidzie Bielsko-Biała,POD,18.0,15722.0
8033,2013,10,Podbeskidzie Bielsko-Biała,POD,13.0,15722.0
8033,2014,11,Podbeskidzie Bielsko-Biała,POD,9.0,15722.0
8033,2015,6,Podbeskidzie Bielsko-Biała,POD,11.0,15722.0
8033,2016,5,Podbeskidzie Bielsko-Biała,POD,2.0,15722.0
8066,2008,5,Inverness Caledonian Thistle,INV,13.0,19694.0
8066,2009,5,Inverness Caledonian Thistle,INV,8.0,19694.0
8066,2010,7,Inverness Caledonian Thistle,INV,6.0,19694.0
8066,2011,12,Inverness Caledonian Thistle,INV,19.0,19694.0
8066,2012,13,Inverness Caledonian Thistle,INV,10.0,19694.0
8066,2013,15,Inverness Caledonian Thistle,INV,12.0,19694.0
8066,2014,16,Inverness Caledonian Thistle,INV,14.0,19694.0
8066,2015,15,Inverness Caledonian Thistle,INV,12.0,19694.0
8066,2016,8,Inverness Caledonian Thistle,INV,7.0,19694.0
8121,2015,8,Angers SCO,ANG,4.0,4769.0
8121,2016,5,Angers SCO,ANG,10.0,4769.0
8152,2010,5,FC St. Pauli,STP,10.0,7809.0
8152,2011,3,FC St. Pauli,STP,11.0,7809.0
8165,2009,3,1. FC Nürnberg,NUR,11.0,7809.0
8165,2010,11,1. FC Nürnberg,NUR,15.0,7809.0
8165,2011,12,1. FC Nürnberg,NUR,15.0,7809.0
8165,2012,12,1. FC Nürnberg,NUR,14.0,7809.0
8165,2013,6,1. FC Nürnberg,NUR,11.0,7809.0
8165,2014,5,1. FC Nürnberg,NUR,12.0,7809.0
8177,2008,10,Hertha BSC Berlin,HBE,4.0,7809.0
8177,2009,10,Hertha BSC Berlin,HBE,18.0,7809.0
8177,2010,4,Hertha BSC Berlin,HBE,7.0,7809.0
8177,2011,4,Hertha BSC Berlin,HBE,5.0,7809.0
8177,2012,3,Hertha BSC Berlin,HBE,12.0,7809.0
8177,2013,8,Hertha BSC Berlin,HBE,5.0,7809.0
8177,2014,8,Hertha BSC Berlin,HBE,19.0,7809.0
8177,2015,14,Hertha BSC Berlin,HBE,13.0,7809.0
8177,2016,4,Hertha BSC Berlin,HBE,7.0,7809.0
8178,2008,10,Bayer 04 Leverkusen,LEV,5.0,7809.0
8178,2009,13,Bayer 04 Leverkusen,LEV,8.0,7809.0
8178,2010,15,Bayer 04 Leverkusen,LEV,7.0,7809.0
8178,2011,18,Bayer 04 Leverkusen,LEV,9.0,7809.0
8178,2012,18,Bayer 04 Leverkusen,LEV,9.0,7809.0
8178,2013,21,Bayer 04 Leverkusen,LEV,7.0,7809.0
8178,2014,14,Bayer 04 Leverkusen,LEV,10.0,7809.0
8178,2015,18,Bayer 04 Leverkusen,LEV,10.0,7809.0
8178,2016,10,Bayer 04 Leverkusen,LEV,4.0,7809.0
8191,2009,5,Burnley,BUR,10.0,1729.0
8191,2010,3,Burnley,BUR,14.0,1729.0
8191,2014,3,Burnley,BUR,9.0,1729.0
8191,2015,4,Burnley,BUR,10.0,1729.0
8194,2012,5,Fortuna Düsseldorf,FDU,6.0,7809.0
8194,2013,2,Fortuna Düsseldorf,FDU,12.0,7809.0
8197,2014,3,Leicester City,LEI,12.0,1729.0
8197,2015,19,Leicester City,LEI,9.0,1729.0
8197,2016,12,Leicester City,LEI,1.0,1729.0
8203,2008,4,KV Mechelen,MEC,7.0,1.0
8203,2009,16,KV Mechelen,MEC,15.0,1.0
8203,2010,11,KV Mechelen,MEC,8.0,1.0
8203,2011,11,KV Mechelen,MEC,11.0,1.0
8203,2012,13,KV Mechelen,MEC,14.0,1.0
8203,2013,4,KV Mechelen,MEC,4.0,1.0
8203,2014,6,KV Mechelen,MEC,8.0,1.0
8203,2015,11,KV Mechelen,MEC,11.0,1.0
8203,2016,3,KV Mechelen,MEC,3.0,1.0
8226,2008,11,TSG 1899 Hoffenheim,HOF,4.0,7809.0
8226,2009,11,TSG 1899 Hoffenheim,HOF,11.0,7809.0
8226,2010,10,TSG 1899 Hoffenheim,HOF,12.0,7809.0
8226,2011,11,TSG 1899 Hoffenheim,HOF,16.0,7809.0
8226,2012,7,TSG 1899 Hoffenheim,HOF,17.0,7809.0
8226,2013,9,TSG 1899 Hoffenheim,HOF,15.0,7809.0
8226,2014,14,TSG 1899 Hoffenheim,HOF,10.0,7809.0
8226,2015,7,TSG 1899 Hoffenheim,HOF,17.0,7809.0
8226,2016,7,TSG 1899 Hoffenheim,HOF,7.0,7809.0
8234,2015,5,FC Ingolstadt 04,ING,7.0,7809.0
8234,2016,5,FC Ingolstadt 04,ING,7.0,7809.0
8242,2008,4,Odra Wodzisław,ODR,8.0,15722.0
8242,2009,7,Odra Wodzisław,ODR,18.0,15722.0
8242,2010,4,Odra Wodzisław,ODR,5.0,15722.0
8244,2008,4,Widzew Łódź,LOD,9.0,15722.0
8244,2009,6,Widzew Łódź,LOD,6.0,15722.0
8244,2011,4,Widzew Łódź,LOD,10.0,15722.0
8244,2012,1,Widzew Łódź,LOD,6.0,15722.0
8245,2009,3,Korona Kielce,KKI,8.0,15722.0
8245,2010,13,Korona Kielce,KKI,7.0,15722.0
8245,2011,9,Korona Kielce,KKI,13.0,15722.0
8245,2012,11,Korona Kielce,KKI,11.0,15722.0
8245,2013,12,Korona Kielce,KKI,14.0,15722.0
8245,2014,8,Korona Kielce,KKI,12.0,15722.0
8245,2015,10,Korona Kielce,KKI,10.0,15722.0
8245,2016,3,Korona Kielce,KKI,2.0,15722.0
8262,2015,4,SV Darmstadt 98,DAR,7.0,7809.0
8262,2016,5,SV Darmstadt 98,DAR,7.0,7809.0
8277,2008,3,Vitesse,VIT,8.0,13274.0
8277,2009,13,Vitesse,VIT,14.0,13274.0
8277,2010,7,Vitesse,VIT,18.0,13274.0
8277,2011,13,Vitesse,VIT,12.0,13274.0
8277,2012,17,Vitesse,VIT,10.0,13274.0
8277,2013,20,Vitesse,VIT,8.0,13274.0
8277,2014,9,Vitesse,VIT,11.0,13274.0
8277,2015,19,Vitesse,VIT,8.0,13274.0
8277,2016,4,Vitesse,VIT,7.0,13274.0
8284,2012,3,Dundee FC,DUF,14.0,19694.0
8284,2013,4,Dundee FC,DUF,8.0,19694.0
8284,2014,5,Dundee FC,DUF,7.0,19694.0
8284,2015,11,Dundee FC,DUF,15.0,19694.0
8284,2016,6,Dundee FC,DUF,5.0,19694.0
8295,2008,4,Karlsruher SC,KAR,12.0,7809.0
8295,2009,4,Karlsruher SC,KAR,9.0,7809.0
8302,2008,9,Sevilla FC,SEV,3.0,21518.0
8302,2009,21,Sevilla FC,SEV,10.0,21518.0
8302,2010,16,Sevilla FC,SEV,18.0,21518.0
8302,2011,17,Sevilla FC,SEV,10.0,21518.0
8302,2012,12,Sevilla FC,SEV,18.0,21518.0
8302,2013,16,Sevilla FC,SEV,13.0,21518.0
8302,2014,20,Sevilla FC,SEV,9.0,21518.0
